Wavelength (nm),Colloid solution,1 drop of NaCl,2 drops of NaCl,3 drops of NaCl,4 drops of NaCl,5 drops of NaCl
488,2.642,2.474,2.293,1.929,1.435,1.178
488.5,2.652,2.483,2.301,1.935,1.437,1.179
489,2.663,2.494,2.311,1.942,1.44,1.181
489.5,2.67,2.506,2.321,1.947,1.443,1.182
490,2.687,2.517,2.33,1.954,1.445,1.184
490.5,2.694,2.529,2.341,1.961,1.449,1.185
491,2.706,2.534,2.351,1.967,1.451,1.187
491.5,2.718,2.551,2.361,1.975,1.454,1.188
492,2.727,2.559,2.369,1.98,1.457,1.19
492.5,2.741,2.57,2.381,1.987,1.46,1.191
493,2.749,2.582,2.393,1.994,1.464,1.193
493.5,2.759,2.59,2.4,2.001,1.467,1.195
494,2.772,2.602,2.411,2.008,1.47,1.197
494.5,2.785,2.614,2.425,2.015,1.473,1.198
495,2.789,2.622,2.433,2.023,1.477,1.2
495.5,2.806,2.636,2.443,2.031,1.48,1.202
496,2.813,2.644,2.454,2.038,1.484,1.204
496.5,2.826,2.659,2.468,2.045,1.487,1.206
497,2.836,2.668,2.477,2.053,1.491,1.208
497.5,2.847,2.683,2.486,2.062,1.495,1.211
498,2.853,2.689,2.498,2.069,1.499,1.213
498.5,2.864,2.701,2.513,2.077,1.503,1.215
499,2.874,2.712,2.521,2.086,1.507,1.217
499.5,2.882,2.723,2.529,2.094,1.511,1.22
500,2.897,2.737,2.542,2.103,1.515,1.222
500.5,2.908,2.744,2.555,2.112,1.519,1.224
501,2.909,2.756,2.563,2.119,1.523,1.227
501.5,2.919,2.768,2.575,2.126,1.527,1.229
502,2.929,2.776,2.584,2.135,1.531,1.232
502.5,2.935,2.784,2.595,2.143,1.535,1.234
503,2.947,2.792,2.604,2.151,1.539,1.236
503.5,2.956,2.803,2.617,2.159,1.543,1.239
504,2.956,2.816,2.626,2.168,1.548,1.242
504.5,2.96,2.818,2.636,2.174,1.552,1.244
505,2.974,2.829,2.649,2.183,1.556,1.247
505.5,2.981,2.839,2.656,2.192,1.56,1.249
506,2.985,2.847,2.667,2.197,1.564,1.252
506.5,2.993,2.853,2.676,2.207,1.569,1.254
507,2.998,2.869,2.682,2.215,1.573,1.257
507.5,3.012,2.875,2.692,2.221,1.577,1.259
508,3.019,2.878,2.706,2.23,1.581,1.262
508.5,3.013,2.887,2.71,2.237,1.585,1.264
509,3.019,2.9,2.72,2.244,1.589,1.267
509.5,3.028,2.905,2.726,2.25,1.593,1.269
510,3.035,2.908,2.741,2.258,1.597,1.272
510.5,3.045,2.918,2.746,2.267,1.601,1.275
511,3.047,2.914,2.752,2.272,1.605,1.277
511.5,3.054,2.928,2.761,2.28,1.609,1.28
512,3.051,2.928,2.771,2.285,1.613,1.282
512.5,3.054,2.931,2.775,2.292,1.617,1.285
513,3.048,2.938,2.777,2.298,1.62,1.287
513.5,3.065,2.939,2.786,2.304,1.624,1.29
514,3.062,2.949,2.792,2.31,1.628,1.292
514.5,3.068,2.952,2.797,2.315,1.631,1.295
515,3.067,2.952,2.799,2.321,1.634,1.297
515.5,3.059,2.95,2.803,2.326,1.638,1.299
516,3.067,2.961,2.814,2.328,1.641,1.302
516.5,3.078,2.969,2.815,2.333,1.645,1.304
517,3.077,2.971,2.824,2.338,1.648,1.306
517.5,3.074,2.964,2.83,2.344,1.65,1.308
518,3.08,2.979,2.823,2.346,1.653,1.31
518.5,3.08,2.978,2.825,2.351,1.656,1.313
519,3.079,2.978,2.835,2.353,1.659,1.314
519.5,3.083,2.97,2.842,2.359,1.662,1.317
520,3.079,2.982,2.833,2.358,1.664,1.318
520.5,3.078,2.982,2.845,2.36,1.666,1.32
521,3.084,2.983,2.84,2.363,1.668,1.322
521.5,3.083,2.984,2.838,2.364,1.67,1.324
522,3.078,2.99,2.844,2.366,1.671,1.325
522.5,3.085,2.99,2.837,2.367,1.674,1.327
523,3.078,2.982,2.842,2.37,1.675,1.329
523.5,3.08,2.982,2.849,2.367,1.677,1.33
524,3.082,2.978,2.844,2.368,1.678,1.331
524.5,3.083,2.983,2.847,2.37,1.679,1.333
525,3.072,2.987,2.843,2.37,1.68,1.334
525.5,3.08,2.985,2.841,2.37,1.682,1.335
526,3.074,2.984,2.844,2.368,1.682,1.337
526.5,3.077,2.986,2.84,2.367,1.684,1.338
527,3.07,2.974,2.842,2.366,1.685,1.339
527.5,3.062,2.971,2.83,2.364,1.685,1.34
528,3.068,2.968,2.831,2.362,1.685,1.341
528.5,3.064,2.954,2.826,2.36,1.686,1.342
529,3.061,2.967,2.825,2.359,1.687,1.343
529.5,3.065,2.954,2.819,2.356,1.687,1.344
530,3.059,2.964,2.812,2.354,1.687,1.345
530.5,3.057,2.958,2.81,2.351,1.687,1.346
531,3.056,2.946,2.808,2.348,1.687,1.346
531.5,3.051,2.947,2.799,2.344,1.687,1.347
532,3.047,2.941,2.797,2.338,1.686,1.347
532.5,3.042,2.928,2.793,2.333,1.686,1.348
533,3.045,2.929,2.775,2.33,1.685,1.348
533.5,3.025,2.929,2.768,2.324,1.685,1.349
534,3.027,2.921,2.767,2.321,1.684,1.35
534.5,3.025,2.913,2.754,2.317,1.683,1.35
535,3.016,2.902,2.747,2.311,1.683,1.35
535.5,3.003,2.889,2.741,2.307,1.682,1.35
536,2.837,2.803,2.702,2.296,1.681,1.351
536.5,2.642,2.698,2.652,2.285,1.68,1.351
537,2.641,2.695,2.645,2.279,1.678,1.351
537.5,2.637,2.691,2.636,2.274,1.677,1.351
538,2.635,2.686,2.632,2.266,1.676,1.352
538.5,2.637,2.677,2.622,2.261,1.674,1.352
539,2.635,2.671,2.613,2.253,1.673,1.352
539.5,2.631,2.661,2.6,2.249,1.671,1.352
540,2.629,2.655,2.592,2.24,1.669,1.352
540.5,2.626,2.649,2.583,2.234,1.667,1.351
541,2.621,2.642,2.571,2.228,1.666,1.351
541.5,2.614,2.633,2.56,2.22,1.664,1.351
542,2.61,2.625,2.553,2.213,1.663,1.351
542.5,2.607,2.614,2.543,2.207,1.661,1.351
543,2.6,2.604,2.533,2.199,1.659,1.35
543.5,2.595,2.594,2.518,2.193,1.657,1.35
544,2.585,2.585,2.505,2.185,1.655,1.35
544.5,2.579,2.573,2.494,2.176,1.653,1.35
545,2.568,2.562,2.479,2.168,1.651,1.349
545.5,2.56,2.549,2.467,2.159,1.648,1.349
546,2.552,2.536,2.454,2.153,1.647,1.349
546.5,2.54,2.524,2.441,2.144,1.645,1.348
547,2.529,2.51,2.426,2.136,1.643,1.348
