Test Name,Test Mode,Test Type,Control,Test Speed 1,Test Speed 2,Test Speed 3,Change Point 1,Change Point 2,Disp. Origin,Break and Limit Action,Sensitivity:,Level:
,Single,Tensile,Stroke,10,1,1,Off,Off,Start,Stop,50,5
,,,,,,,,,,,,
Title,Sub title,Comment,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Shape:,Batch Size:,SubBatch Size:,,,,,,,,,,
Plate,1,1,,,,,,,,,,
Name:,Thickness,Width,Gauge Length,,,,,,,,,
Size Unit:,mm,mm,mm,,,,,,,,,
 Carbon Fiber,1.61,11.22,60,,,,,,,,,
,,,,,,,,,,,,
Name,Max_Force,,,,,,,,,,,
Parameter,,,,,,,,,,,,
Units,kN,,,,,,,,,,,
 Carbon Fiber,6.26906,,,,,,,,,,,
,,,,,,,,,,,,
 1- 1,,,,,,,,,,,,
Time,Force,Stroke,,,,,,,,,,
sec,kN,mm,,,,,,,,,,
18.25,4.18,3.028,,,,,,,,,,
18.3,4.194375,3.036,,,,,,,,,,
18.35,4.207188,3.045,,,,,,,,,,
18.4,4.220938,3.053,,,,,,,,,,
18.45,4.23375,3.061,,,,,,,,,,
18.5,4.249063,3.07,,,,,,,,,,
18.55,4.261875,3.078,,,,,,,,,,
18.6,4.274375,3.086,,,,,,,,,,
18.65,4.288437,3.095,,,,,,,,,,
18.7,4.3025,3.103,,,,,,,,,,
18.75,4.315312,3.111,,,,,,,,,,
18.8,4.329688,3.12,,,,,,,,,,
18.85,4.343125,3.128,,,,,,,,,,
18.9,4.3575,3.136,,,,,,,,,,
18.95,4.37,3.145,,,,,,,,,,
19,4.384687,3.153,,,,,,,,,,
19.05,4.397188,3.161,,,,,,,,,,
19.1,4.41125,3.17,,,,,,,,,,
19.15,4.425,3.178,,,,,,,,,,
19.2,4.437812,3.187,,,,,,,,,,
19.25,4.451875,3.195,,,,,,,,,,
19.3,4.464063,3.203,,,,,,,,,,
19.35,4.47625,3.212,,,,,,,,,,
19.4,4.49,3.22,,,,,,,,,,
19.45,4.50375,3.228,,,,,,,,,,
19.5,4.51625,3.236,,,,,,,,,,
19.55,4.53,3.245,,,,,,,,,,
19.6,4.543125,3.253,,,,,,,,,,
19.65,4.556875,3.261,,,,,,,,,,
19.7,4.569687,3.27,,,,,,,,,,
19.75,4.584063,3.278,,,,,,,,,,
19.8,4.5975,3.286,,,,,,,,,,
19.85,4.61125,3.295,,,,,,,,,,
19.9,4.624688,3.303,,,,,,,,,,
19.95,4.63875,3.311,,,,,,,,,,
20,4.652812,3.32,,,,,,,,,,
20.05,4.6675,3.328,,,,,,,,,,
20.1,4.68125,3.336,,,,,,,,,,
20.15,4.694375,3.345,,,,,,,,,,
20.2,4.709688,3.353,,,,,,,,,,
20.25,4.722188,3.361,,,,,,,,,,
20.3,4.737813,3.37,,,,,,,,,,
20.35,4.751563,3.378,,,,,,,,,,
20.4,4.764688,3.386,,,,,,,,,,
20.45,4.779375,3.395,,,,,,,,,,
20.5,4.791875,3.403,,,,,,,,,,
20.55,4.80625,3.411,,,,,,,,,,
20.6,4.820313,3.42,,,,,,,,,,
20.65,4.834063,3.428,,,,,,,,,,
20.7,4.848125,3.436,,,,,,,,,,
20.75,4.862813,3.445,,,,,,,,,,
20.8,4.876563,3.453,,,,,,,,,,
20.85,4.89,3.461,,,,,,,,,,
20.9,4.905938,3.47,,,,,,,,,,
20.95,4.921875,3.478,,,,,,,,,,
21,4.933125,3.486,,,,,,,,,,
21.05,4.948438,3.495,,,,,,,,,,
21.1,4.964375,3.503,,,,,,,,,,
21.15,4.978125,3.511,,,,,,,,,,
21.2,4.992813,3.52,,,,,,,,,,
21.25,5.007813,3.528,,,,,,,,,,
21.3,5.022188,3.536,,,,,,,,,,
