"Test Name","Test Mode","Test Type","Control","Test Speed 1","Test Speed 2","Test Speed 3","Change Point 1","Change Point 2","Disp. Origin","Break and Limit Action","Sensitivity:","Level:"
"","Single","Tensile","Stroke",10,1,1,"Off","Off","Start","Stop",50,5

"Title","Sub title","Comment"
"","",""

"Shape:","Batch Size:","SubBatch Size:"
"Plate",1,1
"Name:","Thickness","Width","Gauge Length",
"Size Unit:","mm","mm","mm",
" Glass Fiber","1.1800","10.5800","60.0000",

"Name","Max_Force",
"Parameter",,
"Units","kN",
" Glass Fiber","2.07938",

" 1- 1"
"Time","Force","Stroke",
"sec","kN","mm",
"14.15",1.465312,2.346,
"14.20",1.47125,2.355,
"14.25",1.476563,2.363,
"14.30",1.482969,2.371,
"14.35",1.488125,2.38,
"14.40",1.494063,2.388,
"14.45",1.5,2.396,
"14.50",1.505469,2.405,
"14.55",1.510937,2.413,
"14.60",1.516719,2.421,
"14.65",1.522344,2.43,
"14.70",1.527812,2.438,
"14.75",1.53375,2.446,
"14.80",1.539375,2.455,
"14.85",1.544844,2.463,
"14.90",1.550625,2.471,
"14.95",1.556719,2.48,
"15.00",1.561875,2.488,
"15.05",1.567656,2.496,
"15.10",1.5725,2.505,
"15.15",1.579062,2.513,
"15.20",1.584375,2.521,
"15.25",1.590781,2.53,
"15.30",1.596563,2.538,
"15.35",1.602344,2.546,
"15.40",1.607969,2.555,
"15.45",1.61375,2.563,
"15.50",1.619375,2.571,
"15.55",1.625469,2.58,
"15.60",1.630625,2.588,
"15.65",1.636406,2.596,
"15.70",1.642344,2.605,
"15.75",1.648438,2.613,
"15.80",1.65375,2.621,
"15.85",1.659531,2.63,
"15.90",1.665,2.638,
"15.95",1.670469,2.646,
"16.00",1.67625,2.655,
"16.05",1.682031,2.663,
"16.10",1.687656,2.671,
"16.15",1.693125,2.68,
"16.20",1.699219,2.688,
"16.25",1.705156,2.696,
"16.30",1.710938,2.705,
"16.35",1.716875,2.713,
"16.40",1.722656,2.721,
"16.45",1.728594,2.73,
"16.50",1.734219,2.738,
"16.55",1.739687,2.746,
"16.60",1.745469,2.755,
"16.65",1.751094,2.763,
"16.70",1.757187,2.771,
"16.75",1.762187,2.78,
"16.80",1.769063,2.788,
"16.85",1.774219,2.796,
"16.90",1.779688,2.805,
"16.95",1.785625,2.813,
"17.00",1.791719,2.821,
"17.05",1.7975,2.83,
"17.10",1.803594,2.838,
"17.15",1.808906,2.846,
"17.20",1.814687,2.855,
